iter	MultiClass
336	0.3855327581
337	0.3855151501
338	0.3855015276
339	0.3854794177
340	0.3854587912
341	0.3854487135
342	0.3854276998
343	0.3854067026
344	0.3853947872
345	0.38537796
346	0.3853630943
347	0.3853495787
348	0.3853326039
349	0.3853182612
350	0.3853007439
351	0.3852851364
352	0.3852761114
353	0.38526203
354	0.3852509299
355	0.3852414334
356	0.3852302345
357	0.3852132613
358	0.3852013315
359	0.3851872009
360	0.3851743375
361	0.3851587098
362	0.3851441387
363	0.3851331042
364	0.3851180317
365	0.3850992595
366	0.3850857093
367	0.3850734221
368	0.3850598805
369	0.3850530248
370	0.3850400032
371	0.3850354222
372	0.3850212754
373	0.3850093112
374	0.3850001107
375	0.3849818452
376	0.3849641736
377	0.3849550092
378	0.3849395095
379	0.3849296442
380	0.3849175671
381	0.3849046793
382	0.3848921668
383	0.3848860035
384	0.3848778891
385	0.3848672403
386	0.384861546
387	0.3848551369
388	0.3848409697
389	0.3848311799
390	0.3848233411
391	0.3848114081
392	0.3847962535
393	0.3847837662
394	0.3847770346
395	0.3847718564
396	0.3847656934
397	0.3847609809
398	0.3847521337
399	0.3847425955
400	0.3847350928
401	0.3847272317
402	0.3847173728
403	0.3847083346
404	0.3846968411
405	0.3846862179
406	0.3846781853
407	0.3846672149
408	0.3846535494
409	0.3846486702
410	0.3846382502
411	0.3846281324
412	0.3846196436
413	0.3846113659
414	0.3846044455
415	0.3845947542
416	0.3845911991
417	0.3845802141
418	0.3845722457
419	0.3845642972
420	0.3845601795
421	0.3845501801
422	0.3845397199
423	0.3845352387
424	0.3845291541
425	0.3845221606
426	0.3845129551
427	0.3845025914
428	0.3844933523
429	0.384484346
430	0.384478739
431	0.3844683152
432	0.3844638377
433	0.384454612
434	0.384448623
435	0.3844402255
436	0.3844360714
437	0.3844259064
438	0.3844143816
439	0.3844037178
440	0.384397867
441	0.3843945159
442	0.3843869342
443	0.3843794565
444	0.3843717711
445	0.3843673145
446	0.3843564362
447	0.3843448202
448	0.384341251
449	0.3843364781
450	0.3843283738
451	0.3843228739
452	0.3843160165
453	0.3843093907
454	0.3843014333
455	0.384294714
456	0.3842907536
457	0.3842849171
458	0.384276544
459	0.384268829
460	0.3842643747
461	0.3842555508
462	0.3842483747
463	0.3842406556
464	0.3842358301
465	0.3842308375
466	0.3842246389
467	0.3842179816
468	0.3842116447
469	0.3842060152
470	0.3841996555
471	0.3841964914
472	0.3841903497
473	0.3841867719
474	0.3841794456
475	0.3841756282
476	0.3841691798
477	0.3841597338
478	0.3841539453
479	0.3841463414
480	0.3841403443
481	0.3841349521
482	0.3841294741
483	0.3841228545
484	0.3841145096
485	0.384109559
486	0.384106436
487	0.3840973217
488	0.3840891035
489	0.3840852106
490	0.3840795738
491	0.3840737673
492	0.3840680054
493	0.3840628308
494	0.3840576985
495	0.3840524227
496	0.3840476703
497	0.384043378
498	0.3840375087
499	0.3840293202
