zona,atraccion,tiempo_espera,abierta,ultima_actualizacion,fecha,hora,dia_semana,mes,fin_de_semana,temperatura,humedad,sensacion_termica,codigo_clima,temporada
Cartoon Village,Correcaminos Bip Bip,5,True,2025-10-17 12:25:10+00:00,2025-10-17,12:25,Viernes,10,False,21.1,50,20.8,1,alta
Cartoon Village,Emergencias Pato Lucas,0,False,2025-10-17 12:25:10+00:00,2025-10-17,12:25,Viernes,10,False,21.1,50,20.8,1,alta
Cartoon Village,Escuela de Conducción Yabba-Dabba-Doo,0,False,2025-10-17 12:25:10+00:00,2025-10-17,12:25,Viernes,10,False,21.1,50,20.8,1,alta
Cartoon Village,He Visto un Lindo Gatito,0,False,2025-10-17 12:25:10+00:00,2025-10-17,12:25,Viernes,10,False,21.1,50,20.8,1,alta
Cartoon Village,La Aventura de Scooby-Doo,5,True,2025-10-17 12:25:10+00:00,2025-10-17,12:25,Viernes,10,False,21.1,50,20.8,1,alta
Cartoon Village,La Captura de Gossamer,5,True,2025-10-17 12:25:10+00:00,2025-10-17,12:25,Viernes,10,False,21.1,50,20.8,1,alta
Cartoon Village,Looney Tunes Correo Aéreo,5,True,2025-10-17 12:25:10+00:00,2025-10-17,12:25,Viernes,10,False,21.1,50,20.8,1,alta
Cartoon Village,Marvin el Marciano Cohetes Espaciales,0,False,2025-10-17 12:25:10+00:00,2025-10-17,12:25,Viernes,10,False,21.1,50,20.8,1,alta
Cartoon Village,Pato Lucas Coches Locos,0,False,2025-10-17 12:25:10+00:00,2025-10-17,12:25,Viernes,10,False,21.1,50,20.8,1,alta
Cartoon Village,Piolín y Silvestre Paseo en Autobús,0,False,2025-10-17 12:25:10+00:00,2025-10-17,12:25,Viernes,10,False,21.1,50,20.8,1,alta
Cartoon Village,Rápidos ACME,0,False,2025-10-17 12:25:10+00:00,2025-10-17,12:25,Viernes,10,False,21.1,50,20.8,1,alta
Cartoon Village,Scooby-Doo's Tea Party Mistery,0,False,2025-10-17 12:25:10+00:00,2025-10-17,12:25,Viernes,10,False,21.1,50,20.8,1,alta
Cartoon Village,Tom & Jerry Picnic en el Parque,5,True,2025-10-17 12:25:10+00:00,2025-10-17,12:25,Viernes,10,False,21.1,50,20.8,1,alta
Cartoon Village,Wile E. Coyote Zona de Explosión,0,False,2025-10-17 12:25:10+00:00,2025-10-17,12:25,Viernes,10,False,21.1,50,20.8,1,alta
DC Super Heroes World,Batman Gotham City Escape,5,True,2025-10-17 12:25:10+00:00,2025-10-17,12:25,Viernes,10,False,21.1,50,20.8,1,alta
DC Super Heroes World,La Venganza del Enigma,10,True,2025-10-17 12:25:10+00:00,2025-10-17,12:25,Viernes,10,False,21.1,50,20.8,1,alta
DC Super Heroes World,Lex Luthor Invertatron,0,False,2025-10-17 12:25:10+00:00,2025-10-17,12:25,Viernes,10,False,21.1,50,20.8,1,alta
DC Super Heroes World,Mr. Freeze Fábrica de Hielo,5,True,2025-10-17 12:25:10+00:00,2025-10-17,12:25,Viernes,10,False,21.1,50,20.8,1,alta
DC Super Heroes World,Shadows of Arkham,5,True,2025-10-17 12:25:10+00:00,2025-10-17,12:25,Viernes,10,False,21.1,50,20.8,1,alta
DC Super Heroes World,Superman La Atracción de Acero,5,True,2025-10-17 12:25:10+00:00,2025-10-17,12:25,Viernes,10,False,21.1,50,20.8,1,alta
DC Super Heroes World,The Joker Coches de Choque,5,True,2025-10-17 12:25:10+00:00,2025-10-17,12:25,Viernes,10,False,21.1,50,20.8,1,alta
Movie World Studios,Cine Tour,5,True,2025-10-17 12:25:10+00:00,2025-10-17,12:25,Viernes,10,False,21.1,50,20.8,1,alta
Movie World Studios,Hotel Embrujado,5,True,2025-10-17 12:25:10+00:00,2025-10-17,12:25,Viernes,10,False,21.1,50,20.8,1,alta
Movie World Studios,Oso Yogui,0,False,2025-10-17 12:25:10+00:00,2025-10-17,12:25,Viernes,10,False,21.1,50,20.8,1,alta
Movie World Studios,Stunt Fall,5,True,2025-10-17 12:25:10+00:00,2025-10-17,12:25,Viernes,10,False,21.1,50,20.8,1,alta
